YEAR,Female,Male
1999,19.906666666666663,20.94666666666667
2000,19.676470588235297,20.00392156862745
2001,15.36111111111111,15.888888888888893
2002,16.402325581395345,17.093023255813957
2003,12.838095238095237,13.21904761904762
2004,13.796153846153846,13.95769230769231
2005,13.94642857142857,14.239285714285714
2006,13.422727272727276,14.686363636363636
2007,12.186363636363636,13.70909090909091
2008,11.236363636363636,12.95
2009,11.073333333333327,12.193333333333332
2010,11.264999999999999,13.139999999999997
2011,10.708695652173912,12.79565217391304
2012,8.700000000000001,11.209090909090909
2013,6.899999999999999,8.586206896551726
2014,6.492857142857142,7.814285714285715
2015,5.920833333333334,7.191666666666666
