,AverageBeforeCampaign,AverageAfterCampaign,PercentIncrease
SC,48.10625,53.800000000000004,11.835780174093804
MO,51.87647058823529,56.7,9.298106361265459
MS,54.544444444444466,59.21,8.553676919942921
ND,52.12777777777778,55.64999999999999,6.75690077800275
NJ,50.77647058823529,54.06666666666667,6.479765214704986
GA,49.98125,53.099999999999994,6.239839939977474
IL,47.90714285714285,50.8,6.038467272998367
NC,51.41666666666667,54.375,5.753646677471627
LA,51.51428571428572,54.199999999999996,5.213533000554612
IN,51.949999999999996,54.22500000000001,4.37921077959579
HI,62.67272727272727,65.10000000000001,3.8729329852045407
PA,52.888888888888886,54.55,3.1407563025210092
US,60.01428571428571,61.85833333333334,3.072681107672793
NE,54.699999999999996,56.01666666666667,2.4070688604509636
WV,52.98,53.825,1.5949414873537298
OK,51.78000000000001,52.349999999999994,1.1008111239860678
AL,52.85384615384616,53.300000000000004,0.8441274923591809
CT,49.0695652173913,49.1,0.06202374623428351
MN,58.128571428571426,49.8,-14.32784467928238
DE,53.650000000000006,42.85,-20.130475302889103
AR,53.81428571428571,,
AZ,47.28125,,
CA,54.4625,,
CO,57.925000000000004,,
DC,59.675000000000004,,
FL,55.45,,
GU,73.75,,
IA,54.43888888888888,,
ID,55.8,,
KS,47.11666666666667,,
KY,53.00000000000001,,
MA,57.55,,
MD,54.5125,,
ME,50.9,,
MI,50.08,,
NH,49.709090909090904,,
NM,50.15,,
NY,61.26666666666667,,
OH,55.56923076923078,,
RI,52.50833333333333,,
SD,59.199999999999996,,
TN,55.12857142857143,,
TX,59.050000000000004,,
UT,45.025,,
VA,45.1,,
VT,48.8125,,
WI,54.614285714285714,,
WY,58.8,,
