,LocationAbbr,Current Before Campaign,Ever Before Campaign,Frequent Before Campaign,Current After Campaign,Ever After Campaign,Frequent After Campaign
0,AL,17.849999999999998,48.10000000000001,6.564285714285715,12.05,34.7,3.85
1,AZ,10.8,34.86666666666666,2.8111111111111113,3.2,13.35,0.45
2,CT,11.833333333333334,31.95,4.533333333333332,4.175,15.225000000000001,1.4500000000000002
3,DE,14.524999999999999,41.050000000000004,5.7749999999999995,7.0,23.65,2.1
4,GA,13.200000000000001,40.07777777777777,4.655555555555556,8.666666666666666,29.0,2.4
5,HI,9.424999999999999,30.9375,3.0125,5.05,20.95,1.0
6,IL,15.35,40.2875,5.362500000000001,6.85,24.375,1.975
7,IN,14.570000000000002,38.95,6.39,8.7,25.799999999999997,3.25
8,KS,14.071428571428571,37.41428571428571,5.128571428571428,1.2,8.1,0.2
9,LA,15.185714285714287,43.07142857142857,4.6571428571428575,8.533333333333333,29.666666666666668,1.8666666666666665
10,MN,13.024999999999999,35.05,5.475,6.1,20.25,2.25
11,MO,14.272727272727275,39.099999999999994,6.127272727272726,3.2,13.05,0.5
12,MS,16.73684210526316,47.62105263157895,5.889473684210525,8.533333333333333,28.333333333333332,2.433333333333333
13,NC,15.758333333333333,41.50000000000001,6.0,6.9,23.549999999999997,1.775
14,ND,15.7,36.76,6.37,8.899999999999999,24.900000000000002,3.175
15,NE,15.87142857142857,42.49999999999999,6.671428571428572,10.166666666666666,30.866666666666664,4.166666666666667
16,NJ,12.508333333333333,34.65,4.825,5.619999999999999,19.32,1.78
17,OH,14.011111111111111,36.888888888888886,6.233333333333333,3.1500000000000004,12.2,0.45
18,OK,16.384615384615383,45.892307692307696,6.323076923076922,4.8,21.1,0.9
19,PA,13.809999999999999,34.58,5.85,5.800000000000001,17.85,1.85
20,SC,15.09,43.07000000000001,5.29,10.666666666666666,37.53333333333334,2.8666666666666667
21,WV,20.25,47.879999999999995,9.31,11.725,32.875,4.300000000000001
