,AverageBeforeCampaign,AverageAfterCampaign,PercentDecrease
KS,18.871428571428574,3.166666666666666,83.21978299268231
OH,19.04444444444444,5.266666666666667,72.34539089848307
MO,19.833333333333332,5.583333333333333,71.84873949579831
AZ,16.159259259259258,5.666666666666665,64.93238597295439
OK,22.866666666666664,8.933333333333334,60.93294460641398
CT,16.105555555555554,6.95,56.847188685753714
PA,18.080000000000005,8.5,52.986725663716825
NC,21.08611111111112,10.741666666666667,49.058095112633396
NJ,17.327777777777783,8.906666666666665,48.59890990702151
DE,20.450000000000003,10.916666666666666,46.617766911165454
MN,17.85,9.533333333333333,46.59197012138189
IL,20.333333333333332,11.066666666666668,45.573770491803266
MS,23.415789473684207,13.100000000000001,44.054843785120234
HI,14.458333333333334,9.0,37.752161383285305
ND,19.61,12.325000000000001,37.1494135645079
IN,19.970000000000006,12.583333333333334,36.988816558170605
WV,25.813333333333333,16.3,36.8543388429752
LA,20.97142857142857,13.355555555555556,36.315470784135634
GA,19.311111111111114,13.355555555555554,30.840046029919467
NE,21.68095238095238,15.066666666666666,30.50735778607511
AL,24.171428571428574,16.866666666666667,30.22064617809299
SC,21.15,17.022222222222222,19.51667980036774
AR,27.84615384615385,,
CA,17.099999999999998,,
CO,23.48333333333333,,
DC,20.466666666666665,,
FL,20.51666666666667,,
GU,27.549999999999997,,
IA,18.91111111111111,,
ID,14.933333333333335,,
KY,28.145454545454545,,
MA,20.3,,
MD,19.59166666666667,,
ME,16.200000000000003,,
MI,23.272222222222222,,
NH,18.620833333333334,,
NM,16.066666666666666,,
NY,22.566666666666666,,
PR,23.05,,
RI,19.194444444444443,,
SD,17.645833333333332,,
TN,27.342857142857138,,
TX,27.433333333333337,,
UT,8.838888888888887,,
VA,7.316666666666667,,
VI,9.366666666666667,,
VT,17.400000000000002,,
WI,18.50444444444444,,
WY,22.066666666666663,,
