,AverageBeforeCampaign,AverageAfterCampaign,PercentIncrease
NC,52.8875,67.45,27.534861734814463
IL,47.31666666666666,60.0,26.805213103205368
NJ,49.916666666666664,62.166666666666664,24.540901502504177
SC,52.75,65.2,23.60189573459716
LA,54.114285714285714,66.56666666666666,23.011263639563527
MO,57.528571428571425,70.3,22.200148994288554
IN,53.7,65.3,21.601489757914326
NE,55.75,67.6,21.25560538116591
WV,55.129999999999995,66.8,21.168148013785604
CT,47.508333333333326,57.55,21.136642694264175
MS,57.400000000000006,69.3,20.731707317073152
ND,52.379999999999995,63.1,20.465826651393677
GA,51.7111111111111,58.36666666666667,12.87064890416848
AL,55.64166666666667,62.45,12.236034147072031
PA,53.512499999999996,59.8,11.749591217005376
OK,55.37142857142857,60.8,9.803921568627455
US,59.208333333333336,64.05,8.177339901477824
HI,66.675,69.55000000000001,4.311961004874412
MN,61.06666666666666,56.8,-6.986899563318776
AR,56.199999999999996,,
AZ,47.77777777777778,,
CA,56.8,,
CO,54.55,,
DC,55.95,,
DE,55.78333333333333,,
FL,56.675000000000004,,
GU,73.75,,
IA,56.925,,
ID,56.849999999999994,,
KS,47.46666666666667,,
KY,54.51818181818182,,
MA,57.55,,
MD,56.25,,
ME,50.95,,
MI,54.5,,
NH,55.0,,
NM,49.3,,
NY,68.95,,
OH,54.449999999999996,,
RI,51.51666666666667,,
SD,58.9,,
TN,56.2,,
TX,65.44999999999999,,
UT,44.275000000000006,,
VA,43.0,,
VT,49.95,,
WI,57.16428571428571,,
WY,59.3,,
